Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Jelovnik,TJESTENINE I RIŽOTI,ravioli punjeni riccottom i špinatom,umak od kadulje i pršuta,,"19,00","19,00","1,3,7,9,",DA,DA,,ravioli stuffed with ricotta and spinach,sage and prosciutto sauce,Ravioli gefüllt mit Ricotta und Spinat,Salbei- und Prosciutto-Sauce,ravioli ripieni di ricotta e spinaci,salsa di salvia e prosciutto,raviolis farcis à la ricotta et aux épinards,raviolis farcis à la ricotta et aux épinards,Raviolis rellenos de ricotta y espinacas,salsa de salvia y jamón serrano,ravióli recheado com ricota e espinafre,molho de sálvia e presunto,ravioli gevuld met ricotta en spinazie,salie- en prosciuttosaus,ravioli nadziewane ricottą i szpinakiem,sos szałwiowo-prosciutto,"Равиоли, начинённые рикоттой и шпинатом",соус из шалфея и прошутто,ricottával és spenóttal töltött ravioli,zsálya és prosciutto szósz,ravioli plněné ricottou a špenátem,šalvějová a prosciutto omáčka,ravioli plnené ricottou a špenátom,omáčka zo šalvie a prosciutta,"ravioli, polnjeni z rikoto in špinačo",omaka iz žajblja in pršuta,"равіолі, фаршировані рікотою та шпинатом",соус з шавлії та прошутто,ravioli umpluți cu ricotta și spanac,sos de salvie și prosciutto,
Jelovnik,TJESTENINE I RIŽOTI,ravioli punjeni skutom,umak od tartufate i listićima crnog tartufa,,"18,50","18,50","1,3,7,",DA,DA,,ravioli stuffed with cottage cheese,truffle sauce and black truffle flakes,Ravioli gefüllt mit Hüttenkäse,Trüffelsauce und schwarze Trüffelflocken,ravioli ripieni di ricotta,salsa al tartufo e scaglie di tartufo nero,raviolis farcis au fromage blanc,raviolis farcis au fromage blanc,raviolis rellenos de queso cottage,salsa de trufa y hojuelas de trufa negra,ravióli recheado com queijo cottage,molho de trufa e lascas de trufa negra,ravioli gevuld met kwark,truffelsaus en zwarte truffelvlokken,ravioli nadziewane serem wiejskim,sos truflowy i płatki czarnej trufli,"равиоли, начинённые творогом",трюфельный соус и хлопья черного трюфеля,túróval töltött ravioli,szarvasgombamártás és fekete szarvasgombapehely,ravioli plněné tvarohem,lanýžová omáčka a vločky černého lanýže,ravioli plnené tvarohom,hľuzovková omáčka a vločky čiernej hľuzovky,"ravioli, polnjeni s skuto",omaka s tartufi in kosmiči črnega tartufa,"равіолі, начинені сиром",трюфельний соус та пластівці чорного трюфеля,ravioli umpluți cu brânză de vaci,sos de trufe și fulgi de trufe negre,ravioli-tartufata.jpg
Jelovnik,TJESTENINE I RIŽOTI,pljukanci u umaku od tartufate i pršuta,listići crnog tartufa,,"17,50","17,50","1,3,7,",DA,DA,,pljukanci in truffle and prosciutto sauce,black truffle leaves,Pljukanci in Trüffel- und Prosciuttosauce,schwarze Trüffelblätter,pljukanci in salsa di tartufo e prosciutto,foglie di tartufo nero,pljukanci à la sauce truffe et prosciutto,pljukanci à la sauce truffe et prosciutto,Pljukanci en salsa de trufa y prosciutto,hojas de trufa negra,pljukanci em molho de trufa e presunto,folhas de trufa negra,pljukanci in truffel- en prosciuttosaus,zwarte truffelbladeren,pljukanci w sosie truflowym i prosciutto,liście czarnej trufli,плюканци в трюфельно-прошуттовском соусе,листья черного трюфеля,pljukanci szarvasgombás és prosciutto mártásban,fekete szarvasgomba levelek,pljukanci v lanýžové a prosciutto omáčce,listy černého lanýže,pljukanci v hľuzovkovej a prosciutto omáčke,listy čiernej hľuzovky,pljukanci v omaki iz tartufov in pršuta,listi črnega tartufa,плюканці в соусі з трюфелів та прошуто,листя чорного трюфеля,pljukanci în sos de trufe și prosciutto,frunze de trufe negre,
Jelovnik,TJESTENINE I RIŽOTI,linguini carbonara,"guancale, svinjski obrazi",,"14,50","14,50","1,3,7,",DA,DA,,linguini carbonara,"guancale, pork cheeks",Linguini Carbonara,"Guanciale, Schweinebäckchen",linguine alla carbonara,guance di maiale,linguine carbonara,linguine carbonara,linguini carbonara,"guancal, carrilleras de cerdo",linguini carbonara,"guancale, bochechas de porco",linguini carbonara,"guancale, varkenswangen",linguini carbonara,"guancale, policzki wieprzowe",лингвини карбонара,"гуанкале, свиные щечки",linguini carbonara,"guancale, sertéspofa",linguini carbonara,"guacale, vepřové líčka",linguini carbonara,"guacale, bravčové líčka",linguini carbonara,"guancale, svinjska ličnica",лінгвіні карбонара,"гуанакель, свинячі щоки",linguini carbonara,"guancale, obraji de porc",
Jelovnik,TJESTENINE I RIŽOTI,linguini u umaku od kozica,tikvice i cherry rajčica,,"18,50","18,50","1,2,12,",DA,DA,,linguini in shrimp sauce,zucchini and cherry tomatoes,Linguine in Garnelensauce,Zucchini und Kirschtomaten,linguine al sugo di gamberi,zucchine e pomodorini,Linguines à la sauce aux crevettes,Linguines à la sauce aux crevettes,linguini en salsa de camarones,calabacines y tomates cherry,linguine ao molho de camarão,abobrinha e tomates-cereja,linguini in garnalensaus,courgette en cherrytomaten,linguini w sosie krewetkowym,cukinia i pomidorki koktajlowe,лингвини в креветочном соусе,цуккини и помидоры черри,linguini garnélarák szószban,cukkini és koktélparadicsom,linguini v krevetové omáčce,cuketa a cherry rajčátka,linguini v krevetovej omáčke,cuketa a cherry paradajky,linguini v omaki s kozicami,bučke in češnjevi paradižniki,лінгвіні в креветковому соусі,кабачки та помідори чері,linguini în sos de creveți,dovlecei și roșii cherry,
Jelovnik,TJESTENINE I RIŽOTI,linguini u umaku od svježe tune,cherry rajčica,,"14,50","14,50","1,2,7,12",DA,DA,,linguini in fresh tuna sauce,cherry tomato,Linguine in frischer Thunfischsauce,Kirschtomate,linguine al sugo di tonno fresco,pomodorini ciliegino,Linguines à la sauce au thon frais,Linguines à la sauce au thon frais,linguini en salsa de atún fresco,tomate cherry,linguine ao molho de atum fresco,tomate cereja,linguini in verse tonijnsaus,cherrytomaat,linguini w sosie ze świeżego tuńczyka,pomidor koktajlowy,лингвини в соусе из свежего тунца,помидоры черри,linguini friss tonhalszószban,koktélparadicsom,linguini v omáčce z čerstvého tuňáka,cherry rajče,linguini v omáčke z čerstvého tuniaka,čerešňová paradajka,linguini v omaki iz sveže tune,češnjev paradižnik,лінгвіні у соусі зі свіжого тунця,помідор чері,linguini în sos de ton proaspăt,roșii cherry,
Jelovnik,TJESTENINE I RIŽOTI,pljukanci alla vongole,vongole,,"17,50","17,50","1,4,12,",DA,DA,,pljukanci alla vongole,clams,pljukanci alla vongole,Muscheln,pljukanci alla vongole,molluschi,pljukanci alla vongole,pljukanci alla vongole,pljukanci alla vongole,almejas,pljukanci alla vongole,amêijoas,pljukanci alla vongole,mosselen,pljukanci alla vongole,małże,pljukanci alla vongole,моллюски,pljukanci alla vongole,kagylók,pljukanci alla vongole,škeble,pljukanci alla vongole,mušle,pljukanci alla vongole,školjke,плюканці алла вонґоле,молюски,pliculețe de ciocolată,moluște comestibile,
Jelovnik,TJESTENINE I RIŽOTI,crni rižot od lošinjske sipe,sipa,,"18,50","18,50","14,12,4,7,",DA,DA,,black risotto with Lošinj cuttlefish,cuttlefish,Schwarzes Risotto mit Lošinj-Tintenfisch,Tintenfisch,Risotto nero con seppie di Lošinj,seppia,Risotto noir aux seiches de Lošinj,Risotto noir aux seiches de Lošinj,Risotto negro con sepia de Lošinj,calamar,Risoto negro com choco de Lošinj,choco,Zwarte risotto met inktvis uit Lošinj,inktvis,czarne risotto z mątwą lošinjską,mątwa,черное ризотто с кальмарами из Лошиня,каракатица,fekete rizottó lošinji tintahallal,tintahal,černé rizoto s lošinjskou sépií,sépie obecná,čierne rizoto s lošinjskou sépiou,sépia,črna rižota z lošinjsko sipo,sipa,чорне різотто з лошинськими каракатицями,каракатиця,risotto negru cu sepie din Lošinj,sepie,
Jelovnik,TJESTENINE I RIŽOTI,rižot s mješanim šumskim gljivama,listići crnog tartufa,,"18,50","18,50","7,12,9,",DA,DA,,risotto with mixed forest mushrooms,black truffle leaves,Risotto mit gemischten Waldpilzen,schwarze Trüffelblätter,risotto ai funghi misti di bosco,foglie di tartufo nero,risotto aux champignons forestiers variés,risotto aux champignons forestiers variés,Risotto con setas silvestres variadas,hojas de trufa negra,Risoto com cogumelos silvestres variados,folhas de trufa negra,risotto met gemengde boschampignons,zwarte truffelbladeren,risotto z mieszanymi grzybami leśnymi,liście czarnej trufli,Ризотто с миксом лесных грибов,листья черного трюфеля,rizottó vegyes erdei gombákkal,fekete szarvasgomba levelek,rizoto se směsí lesních hub,listy černého lanýže,rizoto so zmiešanými lesnými hubami,listy čiernej hľuzovky,rižota z mešanimi gozdnimi gobami,listi črnega tartufa,різотто з мішаними лісовими грибами,листя чорного трюфеля,risotto cu ciuperci de pădure mixte,frunze de trufe negre,
Jelovnik,TJESTENINE I RIŽOTI,rižot s komadićima bifteka,karamelizirani ljubičasti luk,,"18,50","18,50","7,12,9,",DA,DA,,risotto with steak pieces,caramelized purple onion,Risotto mit Steakstücken,karamellisierte rote Zwiebel,risotto con pezzi di bistecca,cipolla rossa caramellata,risotto aux morceaux de steak,risotto aux morceaux de steak,Risotto con trozos de carne,cebolla morada caramelizada,Risoto com pedaços de bife,cebola roxa caramelizada,risotto met stukjes biefstuk,gekarameliseerde paarse ui,risotto z kawałkami steku,karmelizowana fioletowa cebula,ризотто с кусочками стейка,карамелизованный фиолетовый лук,rizottó steak darabokkal,karamellizált lilahagyma,rizoto s kousky steaku,karamelizovaná fialová cibule,rizoto s kúskami steaku,karamelizovaná fialová cibuľa,rižota s koščki zrezka,karamelizirana vijolična čebula,різотто зі шматочками стейку,карамелізована фіолетова цибуля,risotto cu bucăți de friptură,ceapă mov caramelizată,
Jelovnik,SALATE,salata s piletinom,"lisnata salata, radić, rajčica, krutoni, rukola, slanina, piletina, umak cezar",,"13,50","13,50","1,3,7,10",DA,DA,,chicken salad,"lettuce, radicchio, tomato, croutons, arugula, bacon, chicken, Caesar sauce",Hühnersalat,"Kopfsalat, Radicchio, Tomaten, Croutons, Rucola, Speck, Hähnchen, Caesar-Sauce",insalata di pollo,"lattuga, radicchio, pomodoro, crostini, rucola, pancetta, pollo, salsa Caesar",salade de poulet,salade de poulet,ensalada de pollo,"lechuga, radicchio, tomate, picatostes, rúcula, beicon, pollo, salsa César",Salpicão,"alface, radicchio, tomate, croutons, rúcula, bacon, frango, molho Caesar",kipsalade,"sla, radicchio, tomaat, croutons, rucola, spek, kip, Caesarsaus",sałatka z kurczakiem,"sałata, radicchio, pomidor, grzanki, rukola, boczek, kurczak, sos Cezar",куриный салат,"салат-латук, радиккьо, помидоры, гренки, руккола, бекон, курица, соус Цезарь",csirkesaláta,"saláta, radicchio, paradicsom, kruton, rukkola, bacon, csirke, Cézár szósz",kuřecí salát,"hlávkový salát, čekanka, rajče, krutony, rukola, slanina, kuřecí maso, Caesar omáčka",kurací šalát,"šalát, čakanka, paradajka, krutóny, rukola, slanina, kuracie mäso, Caesar omáčka",piščančja solata,"solata, radič, paradižnik, krutoni, rukola, slanina, piščanec, Cezarjeva omaka",курячий салат,"салат, радіккіо, помідор, крутони, рукола, бекон, курка, соус Цезар",salată de pui,"salată verde, radicchio, roșii, crutoane, rucola, bacon, pui, sos Caesar",
Jelovnik,SALATE,salata s svježom tunom,"lisnata salata, radić, rajčica, masline, tuna, ukiseljeni luk, maslinovo ulje, riga",,"13,50","13,50","4,12",DA,DA,,fresh tuna salad,"lettuce, radicchio, tomato, olives, tuna, pickled onions, olive oil, rigatoni",frischer Thunfischsalat,"Kopfsalat, Radicchio, Tomaten, Oliven, Thunfisch, eingelegte Zwiebeln, Olivenöl, Rigatoni",insalata di tonno fresco,"lattuga, radicchio, pomodoro, olive, tonno, cipolle sottaceto, olio d'oliva, rigatoni",salade de thon frais,salade de thon frais,ensalada de atún fresco,"lechuga, radicchio, tomate, aceitunas, atún, cebollas encurtidas, aceite de oliva, rigatoni",salada de atum fresco,"alface, radicchio, tomate, azeitonas, atum, cebolas em conserva, azeite, rigatoni",verse tonijnsalade,"sla, radicchio, tomaat, olijven, tonijn, ingelegde uien, olijfolie, rigatoni",świeża sałatka z tuńczyka,"sałata, radicchio, pomidor, oliwki, tuńczyk, marynowana cebula, oliwa z oliwek, rigatoni",салат из свежего тунца,"салат-латук, радиккьо, помидоры, оливки, тунец, маринованный лук, оливковое масло, ригатони",friss tonhalsaláta,"saláta, radicchio, paradicsom, olajbogyó, tonhal, ecetes hagyma, olívaolaj, rigatoni",salát z čerstvého tuňáka,"hlávkový salát, čekanka, rajče, olivy, tuňák, nakládaná cibule, olivový olej, rigatoni",šalát z čerstvého tuniaka,"šalát, čakanka, paradajka, olivy, tuniak, nakladaná cibuľa, olivový olej, rigatoni",solata s svežo tuno,"solata, radič, paradižnik, olive, tuna, vložena čebula, olivno olje, rigatoni",салат зі свіжого тунця,"салат, радіккіо, помідор, оливки, тунець, маринована цибуля, оливкова олія, рігатоні",salată de ton proaspăt,"salată verde, radicchio, roșii, măsline, ton, ceapă murată, ulei de măsline, rigatoni",
Jelovnik,SALATE,salata Deveron,"lisnata salata, paprika, rajčica, kapari, masline, avokado, kozice, avokado umak",,"14,50","14,50","2,12",DA,DA,,Deveron salad,"lettuce, peppers, tomatoes, capers, olives, avocado, shrimp, avocado sauce",Deveron-Salat,"Kopfsalat, Paprika, Tomaten, Kapern, Oliven, Avocado, Garnelen, Avocadosauce",Insalata Deveron,"lattuga, peperoni, pomodori, capperi, olive, avocado, gamberetti, salsa di avocado",Salade Deveron,Salade Deveron,ensalada Deveron,"lechuga, pimientos, tomates, alcaparras, aceitunas, aguacate, camarones, salsa de aguacate",Salada Deveron,"alface, pimentões, tomates, alcaparras, azeitonas, abacate, camarão, molho de abacate",Deveron salade,"sla, paprika, tomaten, kappertjes, olijven, avocado, garnalen, avocadosaus",Sałatka Deveron,"sałata, papryka, pomidory, kapary, oliwki, awokado, krewetki, sos awokado",Салат Деверон,"салат-латук, перец, помидоры, каперсы, оливки, авокадо, креветки, соус из авокадо",Deveron saláta,"saláta, paprika, paradicsom, kapribogyó, olajbogyó, avokádó, garnélarák, avokádószósz",Deveronský salát,"hlávkový salát, papriky, rajčata, kapary, olivy, avokádo, krevety, avokádová omáčka",Deverónový šalát,"šalát, paprika, paradajky, kapary, olivy, avokádo, krevety, avokádová omáčka",Deveronova solata,"solata, paprika, paradižnik, kapre, olive, avokado, kozice, avokadova omaka",Салат Деверон,"салат, перець, помідори, каперси, оливки, авокадо, креветки, соус з авокадо",Salată Deveron,"salată verde, ardei, roșii, capere, măsline, avocado, creveți, sos de avocado",
Jelovnik,SALATE,salata Capresse,"rajčica, mozzarella, bosiljak",,"13,00","13,00","7,12",DA,DA,,Capresse salad,"tomato, mozzarella, basil",Caprese-Salat,"Tomaten, Mozzarella, Basilikum",Insalata caprese,"pomodoro, mozzarella, basilico",salade caprese,salade caprese,ensalada Caprese,"tomate, mozzarella, albahaca",Salada Caprese,"tomate, mussarela, manjericão",Capresse salade,"tomaat, mozzarella, basilicum",Sałatka Capresse,"pomidor, mozzarella, bazylia",Салат Капресс,"помидоры, моцарелла, базилик",Capresse saláta,"paradicsom, mozzarella, bazsalikom",Salát Capresse,"rajče, mozzarella, bazalka",Capresse šalát,"paradajka, mozzarella, bazalka",Solata Capresse,"paradižnik, mocarela, bazilika",Салат Капрес,"помідор, моцарела, базилік",Salată Caprese,"roșii, mozzarella, busuioc",
